"id","operation_id","user_id","receiver_id","amount","status","proceed_at","is_verif","ext_id","currency","deadline","is_secured","password","description"
"1","5","14","16","12500","PENDING","2021-10-13 07:16:28","0","MLS1T","XAF",NULL,"0",NULL,NULL
"2","5","23","16","62","PENDING","2021-10-25 17:32:37","0","MLS2T","USD",NULL,"0",NULL,NULL
"3","5","15","16","1","PENDING","2021-11-01 10:13:48","0","MLS3T","XAF",NULL,"0",NULL,NULL
"4","5","15","16","1","PENDING","2021-11-01 10:24:31","0","MLS4T","XAF",NULL,"0",NULL,NULL
"5","5","15","16","1","PENDING","2021-11-01 10:27:28","0","MLS5T","XAF",NULL,"0",NULL,NULL
"6","5","15","16","1","PENDING","2021-11-01 10:28:13","0","MLS6T","XAF",NULL,"0",NULL,NULL
"7","5","15","16","1","PENDING","2021-11-01 10:29:47","0","MLS7T","XAF",NULL,"0",NULL,NULL
"8","5","15","16","1","PENDING","2021-11-01 10:32:26","0","MLS8T","XAF",NULL,"0",NULL,NULL
"9","5","15","16","1","PENDING","2021-11-01 10:34:52","0","MLS9T","XAF",NULL,"0",NULL,NULL
"10","5","15","16","1","PENDING","2021-11-01 10:37:12","0","MLS10T","XAF",NULL,"0",NULL,NULL
"11","5","15","16","1","PENDING","2021-11-01 10:37:57","0","MLS11T","XAF",NULL,"0",NULL,NULL
"12","5","15","16","1","PENDING","2021-11-01 10:39:26","0","MLS12T","XAF",NULL,"0",NULL,NULL
"13","5","15","16","1","PENDING","2021-11-07 13:55:52","0","MLS13T","XAF",NULL,"0",NULL,NULL
"14","5","15","16","1","PENDING","2021-11-07 13:57:56","0","MLS14T","XAF",NULL,"0",NULL,NULL
"15","5","15","16","1","PENDING","2021-11-07 13:59:58","0","MLS15T","XAF",NULL,"0",NULL,NULL
"16","5","15","16","1","PENDING","2021-11-07 14:03:04","0","MLS16T","XAF",NULL,"0",NULL,NULL
"17","5","15","16","1","PENDING","2021-11-07 14:04:52","0","MLS17T","XAF",NULL,"0",NULL,NULL
"18","5","15","16","1","PENDING","2021-11-07 14:06:46","0","MLS18T","XAF",NULL,"0",NULL,NULL
"19","5","15","16","1","PENDING","2021-11-07 14:07:21","0","MLS19T","XAF",NULL,"0",NULL,NULL
"20","5","15","16","1","PENDING","2021-11-07 14:08:16","0","MLS20T","XAF",NULL,"0",NULL,NULL
"21","5","15","16","1","PENDING","2021-11-07 14:08:26","0","MLS21T","XAF",NULL,"0",NULL,NULL
"22","5","15","16","1","PENDING","2021-11-07 14:09:02","0","MLS22T","XAF",NULL,"0",NULL,NULL
"23","5","15","16","1","PENDING","2021-11-07 14:10:28","0","MLS23T","XAF",NULL,"0",NULL,NULL
